dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amillet,pmillet,ymillet
21,Ramechhap,1546,central,hill,2005/2006,Millet,5057,5309,1050
21,Ramechhap,1546,central,hill,2006/2007,Millet,5057,6068,1200
21,Ramechhap,1546,central,hill,2007/2008,Millet,5057,6068,1200
21,Ramechhap,1546,central,hill,2008/2009,Millet,5057,6068,1200
21,Ramechhap,1546,central,hill,2009/2010,Millet,5087,6068,1193
21,Ramechhap,1546,central,hill,2010/2011,Millet,5060,5051,998
21,Ramechhap,1546,central,hill,2011/2012,Millet,5057,6068,1200
21,Ramechhap,1546,central,hill,2012/2013,Millet,5060,4425,875
21,Ramechhap,1546,central,hill,2013/2014,Millet,5060,4402,870
21,Ramechhap,1546,central,hill,2014/2015,Millet,5060,4550,899
22,Dolakha,2191,central,mountain,2000/2001,Millet,3590,4154,1157
22,Dolakha,2191,central,mountain,2001/2002,Millet,3590,3914,1090
22,Dolakha,2191,central,mountain,2002/2003,Millet,3590,3914,1090
22,Dolakha,2191,central,mountain,2003/2004,Millet,3590,3914,1090
22,Dolakha,2191,central,mountain,2004/2005,Millet,3585,3944,1100
22,Dolakha,2191,central,mountain,2005/2006,Millet,3585,3550,990
22,Dolakha,2191,central,mountain,2006/2007,Millet,3575,3540,990
22,Dolakha,2191,central,mountain,2007/2008,Millet,3575,3540,990
22,Dolakha,2191,central,mountain,2008/2009,Millet,3575,3580,1001
22,Dolakha,2191,central,mountain,2009/2010,Millet,3555,4159,1170
22,Dolakha,2191,central,mountain,2010/2011,Millet,3555,4094,1152
22,Dolakha,2191,central,mountain,2011/2012,Millet,3562,4630,1300
22,Dolakha,2191,central,mountain,2012/2013,Millet,3568,4200,1177
22,Dolakha,2191,central,mountain,2013/2014,Millet,3600,4250,1181
22,Dolakha,2191,central,mountain,2014/2015,Millet,3600,4250,1181
23,Sindhupalchok,2542,central,mountain,2000/2001,Millet,19000,25000,1316
23,Sindhupalchok,2542,central,mountain,2001/2002,Millet,19400,24040,1239
23,Sindhupalchok,2542,central,mountain,2002/2003,Millet,19440,24215,1246
23,Sindhupalchok,2542,central,mountain,2003/2004,Millet,19440,24215,1246
23,Sindhupalchok,2542,central,mountain,2004/2005,Millet,19440,21104,1086
23,Sindhupalchok,2542,central,mountain,2005/2006,Millet,19300,20500,1062
23,Sindhupalchok,2542,central,mountain,2006/2007,Millet,19500,19500,1000
23,Sindhupalchok,2542,central,mountain,2007/2008,Millet,19500,19500,1000
23,Sindhupalchok,2542,central,mountain,2008/2009,Millet,19295,21070,1092
23,Sindhupalchok,2542,central,mountain,2009/2010,Millet,19295,22000,1140
23,Sindhupalchok,2542,central,mountain,2010/2011,Millet,19330,19330,1000
23,Sindhupalchok,2542,central,mountain,2011/2012,Millet,19330,21263,1100
23,Sindhupalchok,2542,central,mountain,2012/2013,Millet,19320,21252,1100
23,Sindhupalchok,2542,central,mountain,2013/2014,Millet,19320,21252,1100
23,Sindhupalchok,2542,central,mountain,2014/2015,Millet,19320,22252,1152
24,Kavrepalanchok,1396,central,hill,2000/2001,Millet,1500,1500,1000
24,Kavrepalanchok,1396,central,hill,2001/2002,Millet,1500,1500,1000
24,Kavrepalanchok,1396,central,hill,2002/2003,Millet,1000,1000,1000
24,Kavrepalanchok,1396,central,hill,2003/2004,Millet,1000,1000,1000
24,Kavrepalanchok,1396,central,hill,2004/2005,Millet,3500,3465,990
24,Kavrepalanchok,1396,central,hill,2005/2006,Millet,3500,3510,1003
24,Kavrepalanchok,1396,central,hill,2006/2007,Millet,3500,3510,1003
24,Kavrepalanchok,1396,central,hill,2007/2008,Millet,3450,3500,1014
24,Kavrepalanchok,1396,central,hill,2008/2009,Millet,3505,3505,1000
24,Kavrepalanchok,1396,central,hill,2009/2010,Millet,3555,3604,1014
24,Kavrepalanchok,1396,central,hill,2010/2011,Millet,3505,3550,1013
24,Kavrepalanchok,1396,central,hill,2011/2012,Millet,3500,3850,1100
24,Kavrepalanchok,1396,central,hill,2012/2013,Millet,3505,3506,1000
24,Kavrepalanchok,1396,central,hill,2013/2014,Millet,3505,3501,999
24,Kavrepalanchok,1396,central,hill,2014/2015,Millet,3515,4042,1150
25,Lalitpur,385,central,hill,2000/2001,Millet,1350,1750,1296
25,Lalitpur,385,central,hill,2001/2002,Millet,630,740,1175
25,Lalitpur,385,central,hill,2002/2003,Millet,610,732,1200
25,Lalitpur,385,central,hill,2003/2004,Millet,610,732,1200
25,Lalitpur,385,central,hill,2004/2005,Millet,610,751,1231
25,Lalitpur,385,central,hill,2005/2006,Millet,610,751,1231
25,Lalitpur,385,central,hill,2006/2007,Millet,608,699,1150
25,Lalitpur,385,central,hill,2007/2008,Millet,605,786,1299
25,Lalitpur,385,central,hill,2008/2009,Millet,605,786,1299
25,Lalitpur,385,central,hill,2009/2010,Millet,600,786,1310
25,Lalitpur,385,central,hill,2010/2011,Millet,580,672,1159
25,Lalitpur,385,central,hill,2011/2012,Millet,575,690,1200
25,Lalitpur,385,central,hill,2012/2013,Millet,575,690,1200
25,Lalitpur,385,central,hill,2013/2014,Millet,575,575,1000
25,Lalitpur,385,central,hill,2014/2015,Millet,570,570,1000
26,Bhaktapur,119,central,hill,2000/2001,Millet,350,480,1371
26,Bhaktapur,119,central,hill,2001/2002,Millet,160,200,1250
